"Job Title","Job Type","Job Qualifications","Job Experience","Job Location","Job Field","Date Posted","Deadline","Job Description","Application","Company URL","Company Name","Company Logo","Company Industry","Company Founded","Company Type","Company Website","Company Address","Company Details","Job URL","Estimated Deadline","Salary Range"
"Part-time Technical Consultant","Consultancy / Contract","","","Hanoi","Human Resources","","2026-06-20","VACANCY ANNOUNCEMENT
CLINTON HEALTH ACCESS INITIATIVE, INC. (CHAI)
The Clinton Health Access Initiative, Inc. (CHAI) is a global health organization committed to saving lives and reducing the burden of disease in low – and – middle – income countries. We work at the invitation of governments and the private sector to support them in creating and sustaining high-quality health systems. In Vietnam, CHAI has partnered with the Ministry of Health and national programs since 2006 across HIV, tuberculosis, malaria, immunization, digital health, and more recently, non-communicable diseases (NCDs).
Under the RESist-NCD project, CHAI Vietnam is working with the Vietnam Administration of Disease Prevention (VADP), local authorities, and technical partners to support strengthening NCD screening, early detection, and management activities at the primary health care level.
VADP is currently leading the review, update, and finalization of technical guidelines related to NCD screening, early detection, management, and prevention at the community level. CHAI, together with WHO and relevant technical partners, is providing technical support for this process.
To support the above activities, CHAI plans to recruit a part-time technical consultant to work with VADP and technical expert groups in reviewing documents, consolidating technical feedback, and editing and finalizing materials for the consultation and approval process. Please see the
TOR
for more details
.
Interested applicants are invited to submit the following:
An updated CV;
A brief cover letter describing relevant experience and suitability for the consultancy position, particularly with regard to technical guideline development, NCDs, and experience working with health regulatory authorities;
A proposed consultancy fee;
Contact information for three professional references.
Please send your application to:
[email protected]
with the subject line: “
Technical Consultant – NCD
” by
June 20, 2026
.
Applications will be reviewed on a rolling basis, and the recruitment process may close early upon identification of a suitable candidate. Only shortlisted candidates will be contacted.","vietnamjobs@clintonhealthaccess.org","","CHAI","","NGO / Development","","UN Agency","","Hanoi","","https://careerone.vn/jobs/part-time-technical-consultant/","2026-06-20",""
"PR and Communications Officer – IKI JET and TEV","Consultancy / Contract","Bachelor's Degree","","Hanoi","Programme / Project Management","","2026-06-26","Duty station: Hanoi, Viet Nam
Duration: ASAP until 31.12.2027
Main responsibilities and tasks:
Conceptualize and design high-quality PR/Comms materials, incl. logos, branding materials, and visual identities that reflect the strategic positioning of the projects, of the ESP cluster as well as GIZ Viet Nam
Design (print and) digital materials such as reports, brochures posters, and flyers ensuring consistent visual standards
Develop engaging social media content and other digital assets tailored to target audiences and platform requirements
Produce and edit video content, including filming, storyboarding, motion graphics, and post-production, for internal and external communications purposes.
Work in close coordination with the project managers and focal points of IKI JET, TEV and other ESP projects as well as with the PR/Comms colleagues from the ESP Cluster
Communicate and coordinate with partners and stakeholders to advocate for and raise awareness of technical topics related to Viet Nam’s energy transition
Develop concepts and strategies for the targeted and effective dissemination of project messages and results to relevant stakeholders
Support the establishment and maintenance of a professional media network to support the broad dissemination of project results and key communications outputs
Support press events, press conferences, interviews, field trips, journalist visits, etc.
Recruit, brief, and manage external service providers, including design agencies, printing companies, photographers, videographers, and other creative suppliers
Oversee quality control and timely delivery of outsourced communications products in line with GIZ project standards and budgets
Develop and regularly update the online presence of IKI JET and TEV, including project websites and social media channels, to ensure content is current, accurate, and engaging
Support maintenance of an organized archive of communications materials, design assets, and multimedia content for institutional knowledge management
Minimum requirements:
Bachelor’s degree or higher in Communications, Graphic Design, Visual Arts, or related field
A minimum of 5 years of relevant professional experience in PR and Communications
A minimum of 5 years of hands-on experience in graphic design, illustration, and content writing
Proven track record in video editing, filming and storyboarding for diverse audiences and platforms
Proficiency in multimedia content creation and strong skills in layout design, typography, and brand identity development.
A strong, diverse portfolio demonstrating expertise across branding, digital, and print design, and ability to adapt visual materials to different formats including print, web, and presentations
Exceptional eye for typography, layout, color theory, and visual hierarchy
Experience with digital content management systems (CMS) and social media content production
Knowledgeable about evolving social media trends and capable of developing social media channels effectively
Familiarity with web design principles and basic HTML/CSS is an advantage
Expert command of Adobe Creative Suite, including Photoshop, Indesign, Illustrator
Excellent understanding of Viet Nam’s energy transition landscape, including key stakeholders, policy frameworks, and ongoing initiatives
Experience working in development cooperation and collaborating with international development organizations is a strong asset
Self-driven and proactive personality with excellent skills to organize him/herself, to prioritize and structure tasks
Strong creative thinking paired with the ability to deliver within constraints, e.g. ability to manage deadlines in a fast-paced, multi-project environment
Excellent attention to detail and commitment to quality
Full professional proficiency in Vietnamese and English
Excellent writing and editing skills in Vietnamese and English
Work experience or studies abroad, demonstrating international exposure would be an asset
GIZ is committed to create an appreciative work environment, irrespective of age, ethnic background and nationality, gender and gender identity, physical and mental abilities, religion and worldview, sexual orientation and social background. We ensure human resource processes live up to the diverse competencies and talents of all employees, as well as satisfy our performance expectations.
What we can offer to the successful candidates:
Good working environment
Competitive compensation and benefit packages such as contribution of all compulsory insurances, providing with the additional health care, the annual health check-up and the 24-hours accident insurance.
Covering all travel expenses with travel allowances when traveling on business
And good policy on training and development
And policy on flexible working time
Interested qualified candidates are invited to send the
GIZ Application Form
in English, copies of relevant certificates and references, either by email (to
[email protected]
) or by post (to
GIZ Office Hanoi
, 6th Floor Hanoi Towers, 49 Hai Ba Trung Street, Hanoi, Vietnam) before
26
th
June 2026.
Note:
Please state “
Application PR and Communications Officer – IKI JET and TEV
” in the subject line or on the envelope. The short-listed candidates will be contacted within 4 weeks after the deadline. Telephone contact is not encouraged.
Please visit our page
Viet Nam Jobs | GIZ
to download
the Application Form
and further job opportunities.
To process your application, we collect and process data from you. You may read
Our Data Privacy Notice
, which provides further information on the data we store, and about your rights, before you continue with your application.
GIZ – YOUR PARTNER FOR A BETTER FUTURE","hr-giz@giz.de","http://www.giz.de/viet-nam","GIZ","","NGO / Development","","NGO / Development","http://www.giz.de/viet-nam","Hanoi","","https://careerone.vn/jobs/pr-and-communications-officer-iki-jet-and-tev/","2026-06-26",""
"Programme Officer in Digital Transformation (02 positions)","Consultancy / Contract","Master's Degree","3 - 5 Years","Hanoi; Ho Chị Minh","Programme / Project Management","","2026-06-30","Duty station: 01 in Hanoi and 01 in Ho Chi Minh City
Duration: ASAP for 1 year contract with possible extension
Main responsibilities and tasks:
Support/coordinate the implementation of activities in the field of responsibilities within the EU co-financed ‘Programme Reform of Technical and Vocational Education and Training (TVET) in Viet Nam’ (TVETIII-VETVET).
Provide advice on strategy development and implementation in the field of digital transformation (DX) for TVET partners at macro (e.g. MoET) and micro (e.g. partner TVET colleges) level in alignment with across thematic areas.
Organize capacity development activities on DX for TVET personnel, including the facilitation of Community of Practices (CoP).
Implement digital solutions and digital tools, and the dissemination of DX products/results for TVET partners and other relevant stakeholders.
Provide advice on occupation-specific digital competencies in the development of training programmes/modules
Foster partnership between MOET/Department of Continuing and Vocational Education and Training (DCVET), TVET colleges, enterprises and associations in the field of DX in TVET.
Coordinate DX events and technical meetings with TVET partners, consultants and relevant stakeholders during the planning and implementation of project activities.
Plan, implement, monitor, evaluate, and document DX activities, costs, and results, while ensuring record and knowledge management are accurate in line with GIZ regulations
Develop terms of references for national and international consultants, and plan, coordinate, monitor, and document consultant missions and deliverables.
Coordinate working groups and cooperate close with other components and projects of the TVET and other cluster of GIZ Viet Nam and cross countries. Ensure synergies, coherence and alignment of interventions within the overall TVET III – VETVET framework.
Conduct regular field visits to partner regions and TVET colleges as required to support and monitor project implementation on site.
Perform other duties as assigned by supervisors.
Minimum requirements:
Master’s degree in digital learning, digital transformation, IT management, information system, data science, knowledge management, education management or a related discipline.
Specialized trainings or certifications in digital transformation or AI in education or TVET such as digital/AI literacy, e-pedagogies, instructional design, data analytics, digital consulting, project management, change management, assessment of digital readiness, digital management.
Minimum 8 years of relevant professional experience, including 3 – 4 years in programme level roles related to DX in education or TVET;
Proven experience in designing and implementing DX projects or initiatives in education or TVET, including strategic and policy advice, personnel capacity development, and digital solutions.
Excellent experience in working and coordinating with multiple stakeholders, including in government ministries, international donors, TVET colleges, enterprises, professional associations.
Practical experience in planning, implementing, monitoring and reporting DX activities in education or TVET, including budget management.
In-depth understanding of legal frameworks such as relevant resolutions, laws, degrees and circulars related to DX/AI in education and TVET in Vietnam.
In-depth knowledge of national and international frameworks, standards and guidelines related to DX in education and TVET.
In-depth professional knowledge of DX such as IT system, database science, education management, IT project management.
Proficient user of English language (both spoken and written).
Good communication and strong interpersonal skills.
Strong organization and facilitation skills for delivering training, workshops, seminars, and capacity-building activities for TVET leaders, managers, and educators.
Strong digital and AI competencies, computer applications, particularly MS-Office
Ability to develop and manage Terms of Reference (ToR) for national and international consultants, ensuring high-quality consultancy deliverables and strong project oversight.
Service-oriented and proactive working style.
Team work ability, dynamic, self-management, and interest in development work.
Willingness to travel.
GIZ is committed to create an appreciative work environment, irrespective of age, ethnic background and nationality, gender and gender identity, physical and mental abilities, religion and worldview, sexual orientation and social background. We ensure human resource processes live up to the diverse competencies and talents of all employees, as well as satisfy our performance expectations.
What we can offer to the successful candidates:
Good working environment
Competitive compensation and benefit packages such as contribution of all compulsory insurances, providing with the additional health care, the annual health check-up and the 24-hours accident insurance.
Covering all travel expenses with travel allowances when traveling on business
And good policy on training and development
And policy on flexible working time
Interested qualified candidates are invited to send the GIZ Application Form in English, copies of relevant certificates and references, either by email (to
[email protected]
) or by post (to GIZ Office Hanoi, 6th Floor Hanoi Towers, 49 Hai Ba Trung Street, Hanoi, Vietnam) before
30th June 2026
.
Note: Please state “Application for the Programm Officer in Digital Transformation_TVET in Ha Noi or in HCMC” in the subject line or on the envelope. The short-listed candidates will be contacted within 4 weeks after the deadline. Telephone contact is not encouraged.
Please visit our page
Viet Nam Jobs | GIZ
to download
the Application Form
and further job opportunities.
To process your application, we collect and process data from you. You may read
Our Data Privacy Notice
, which provides further information on the data we store, and about your rights, before you continu","hr-giz@giz.de","http://www.giz.de/viet-nam","GIZ","","NGO / Development","","Government / Embassy","http://www.giz.de/viet-nam","Hanoi; Ho Chị Minh","","https://careerone.vn/jobs/programme-officer-in-digital-transformation-02-positions/","2026-06-30",""
"National consultant to support for the baseline and endline surveys for shrimp aquaculture, rice and coffee sectors","Consultancy / Contract","","No Experience Required","","Consultancy","","2026-07-15","Rikolto is an international NGO with over 50 years of experience partnering with farmer organisations and food chain actors in Africa, Asia, Europe and Latin America. Rikolto runs programmes in 18 countries worldwide through 5 regional offices. Rikolto in Southeast Asia (SEA) operates in Vietnam, with an office based in Hanoi.
Currently, Rikolto is looking for
National Consultant
to support for the
Baseline and endline surveys for shrimp aquaculture, rice and coffee sectors
in Ca Mau, Dong Thap and Dak Lak provinces.
Please refer to the attached
TORs
(in
English
and
Vietnamese
) for more details.
Submissions should be sent to
[email protected]
. Only shortlisted applicants will be contacted for further assessment.
Submission deadline:
July 15, 2026","vietnam@rikolto.org","","Rikolto","","NGO / Development","","INGO","","","","https://careerone.vn/jobs/national-consultant-to-support-for-the-baseline-and-endline-surveys-for-shrimp-aquaculture-rice-and-coffee-sectors/","2026-07-15",""
"Consultancy for Baseline survey – PR 354/VNM02","Consultancy / Contract","","","","Consultancy","","2026-06-29","Since 1989, CARE International in Vietnam has partnered with a wide range of organizations to implement over 300 impactful projects across the country. We believe that true sustainable development can only be achieved by addressing the root causes of poverty, social injustice, and inequality. In collaboration with our partners, we are committed to empowering women and their communities—whether smallholder farmers, workers, or owners of micro and small enterprises—by enhancing their skills, confidence, and capacity to engage in economic development, adapt to climate change, and strengthen their resilience to natural or major disasters. Together, we aim to foster a society where development is inclusive, equitable, and accessible to all.
CARE International in Vietnam under LANDMARK project – funded by the European Union, is seeking Consultancy for Baseline survey.  Please refer to the attached
Terms of Reference
(TOR) for further details.
If you are interested in this job, please send your detailed quotations to email address:
[email protected]
quoting the position title in the subject line of the email.
Application Deadline is before 5PM on 29 June 2026.","procurement@care.org.vn","","CARE","","NGO / Development","","NGO / Development","","","","https://careerone.vn/jobs/consultancy-for-baseline-survey-pr-354-vnm02/","2026-06-29",""
"Project Officer","Full-time","","","Gia Lai","Programme / Project Management","","2026-06-30","in Gia Lai Province.
Please refer to the attached
Job announcement
for more details.
Interested candidates should send applications to:
[email protected]
Deadline for application:
June 30, 2026","vthuyen@ideglobal.org","","iDE","","NGO / Development","","NGO / Development","","Gia Lai","","https://careerone.vn/jobs/project-officer-32/","2026-06-30",""
"HR & Admin Officer","Consultancy / Contract","Bachelor's Degree","","Hanoi","Human Resources","","2026-06-26","Animals Asia
is devoted to ending bear bile farming and improving the welfare of animals across Asia. We are committed to ending the suffering of animals throughout Asia by promoting compassion and respect for all animals, while striving to create long-term and sustainable change. Animals Asia is currently seeking to recruit a qualified candidate for the position HR and Admin Officer with details as follows:
Position: HR and Admin Officer
Employment type:
Full-time
Contract duration:
One-year contract, extendable based on performance with initial 2-month probationary period
Work location:
Ha Noi, Viet Nam
Role Purpose:
The HR & Admin Officer is responsible for payroll administration, social insurance management, personal income tax compliance. Ensure the effective implementation of administrative, HR, and procurement activities  providing optimal support for the organisation’s operations. Maintain transparency and accuracy in the management of records, reports, and documents related to administration, HR, and procurement, ensuring compliance with both organisational policies and legal regulations.
Responsibilities:
Administration & Office Management
Coordinate daily administrative activities to ensure smooth office operations.
Organize logistics for meetings, workshops, training sessions, staff events, and official visits.
Arrange travel bookings, accommodation, transportation, visa support, and related logistics for staff, consultants, and visitors.
Manage office facilities, supplies, equipment, and administrative resources.
Liaise with vendors and service providers, obtain quotations, negotiate pricing, and monitor service quality.
Support procurement processes in accordance with organizational procedures.
Maintain asset inventories, fixed asset records, and conduct periodic stocktaking.
Coordinate office maintenance, repairs, and workplace health and safety requirements.
Maintain administrative records, contracts, licenses, permits, and filing system
Payroll Administration
Prepare and process monthly payroll accurately and on time.
Verify attendance, leave records, allowances, overtime, and deductions.
Coordinate with Finance to ensure timely salary payments.
Prepare payroll reports and maintain payroll records.
Generate and distribute employee payslips.
Social Insurance & Compliance
Manage social insurance, health insurance, and unemployment insurance administration.
Process employee registration, amendments, and termination of insurance records.
Prepare and submit insurance-related documentation to relevant authorities.
Support employees with insurance claims and statutory benefits.
Assist with labor reporting and statutory submissions.
Ensure compliance with Vietnamese labor laws, social insurance regulations, and internal policies.
Requirements:
Education:
Bachelor’s degree in Human Resources, Accounting, Finance, Business Administration, or a related field
.
Experience:
University degree in finance, accounting, administrative management, or a related field. Professional certification in administration or human resources. Experience working with payroll systems and HRIS. Experience handling social insurance administration and labor compliance
.
Skills & Knowledge
Strong knowledge of Vietnamese Labor Law, Social Insurance, and Personal Income Tax regulations.
Strong payroll administration and HR administrative skills.
Excellent organizational and time-management abilities.
Strong communication and interpersonal skills.
Good negotiation and vendor management skills.
Proficiency in Microsoft Excel and HRIS systems.
Good command of English.
How to Apply
Please send your
cover letter and CV
(clearly stating the applied position) by clicking the application link below. Link:
https://animalsasia.bamboohr.com/careers/142
Only shortlisted candidates will be notified for interviews. Applicants who have not received a reply after two weeks from the date of the advertisement should consider their applications unsuccessful. Only short-listed applicants will be interviewed; the interview will be conducted in English. Closing date for application is
26
th
June 2026.
To find out more:
www.animalsasia.org
Animals Asia values candidates with different backgrounds, experiences, and perspectives. We welcome applicants of every ethnicity, age, gender identity and expression, sexual orientation, religion, national origin, socioeconomic status, disability, or veteran status. We are committed to building an organization that creates an inclusive environment for all.
Using AI During Interviews
Animals Asia is committed to ensuring a fair and authentic interview process. The use of artificial intelligence (AI) tools, including but not limited to real-time transcription, automated response generation or assistance in formulating interview answers, is strictly prohibited during any stage of the interview process.We will take a candidate’s agreement to participate in an interview with us as confirmation that they will not use AI tools in any form during the conversation. If it is discovered or reasonably suspected that AI has been used, the interview will be terminated immediately, and the candidate will no longer be considered for the role.We appreciate your understanding and adherence to this policy, which is in place to maintain the integrity, professionalism and reliability of our recruitment procedures.","https://animalsasia.bamboohr.com/careers/142","https://animalsasia.bamboohr.com/careers/142","AAF","","NGO / Development","","UN Agency","https://animalsasia.bamboohr.com/careers/142","Hanoi","","https://careerone.vn/jobs/hr-admin-officer/","2026-06-26",""
"Creative design agency or a senior branding consultant to develop a complete brand identity package","Consultancy / Contract","","","","Consultancy","","2026-06-20","The Swiss Tourism for Sustainable Development in Vietnam (ST4SD), financed by the Swiss State Secretariat for Economic Affairs (SECO), implemented by the consortium of Helvetas Vietnam – a Swiss international NGO, and the CRED Tourism & Agriculture Solution Consulting Company Limited – a Vietnamese NGO, is looking for a
qualified creative design agency or a senior branding consultant
to develop a complete brand identity package, including key promotional visual assets for upcoming major tourism forums.
Please refer to the
TORs
and the
instruction for application
attached. The submitted documents must be
password-protected
. You will be asked for the password after submitting the application. Proposal should be sent to
[email protected]
and
[email protected]
before
20.6.2026
.","procurement@st4sd.vn","","HELVETAS","","NGO / Development","","INGO","","","","https://careerone.vn/jobs/creative-design-agency-or-a-senior-branding-consultant-to-develop-a-complete-brand-identity-package/","2026-06-20",""
"Agribusiness and Resilience Specialist; Grant Officer","Full-time","","","Hanoi","Development / NGO","","2026-06-25","The SMEs Promote Resilience, Inclusion and Innovative Transformation (SPRINT) Program is a flagship initiative of Global Affairs Canada, implemented by Cowater International in the province of Lao Cai.  The Program aims to improve the socio-economic well-being of ethnic minority women working in the agricultural sector by elevating their economic status, leadership and agency through the promotion of clean growth. The program will implement a series of interventions designed to strengthen the performance of EMW led MSMEs, cooperatives and producer groups in agrifood system. The primary beneficiaries are women living in the province of Yen Bai, while an overarching emphasis is placed on the inclusion of women from ethnic minority communities. It will respond to critical skills and knowledge gaps and incentivize the innovation and adoption of clean and resilient production solutions, including climate smart agriculture, Renewable Energy (RE) and Energy Efficient (EE) among EMW led businesses.
We are seeking qualified candidates for the following positions, please refer the TORs in English below for more details:
Agribusiness and Resilience Specialist
Grant Officer
Interested applicants are invited to submit their application in English with the subject line of
“Job title”
to
[email protected]
no later than
17.00, 25/06/2026
. We thank all applicants, however, only the shortlist will be contacted.","Recruitment@sprint-vietnam.com","","SPRINT","","NGO / Development","","NGO / Development","","Hanoi","","https://careerone.vn/jobs/agribusiness-and-resilience-specialist-grant-officer/","2026-06-25",""
"Technical Consultant for Assessing the Existing Early Warning System to Support a Multi-Hazard Early Warning System in Hoa Chau Ward, Hue City","Consultancy / Contract","","","","Consultancy","","2026-06-18","Catholic Relief Services (CRS) is an international non-government organization, operating in Vietnam since 1994.  In partnership with the government and communities, CRS implements programs in 09 provinces/cities in Vietnam. The Vietnam Program has a diverse funding base in the sectors of Disabilities, Mine Action and Disaster Risk Reduction and Management, and Community-based Climate Change Adaptation.
Under Climate Resilient Cities project, we are seeking
technical consultant for assessing the Existing Early Warning System to Support a Multi-Hazard Early Warning System in Hoa Chau Ward, Hue City
,
in the period from June to August 2026.
Interested parties are kindly invited to refer to the attached
Terms of Reference (TOR)
for detailed information and submit their proposals to CRS via email at:
[email protected]
.
Deadline for submission
:
18 June 2026.
For any clarification requests, please contact:
[email protected]
, and Cc:
[email protected]
.","vn_rfp2@crs.org","","CRS","","NGO / Development","","Government / Embassy","","","","https://careerone.vn/jobs/technical-consultant-for-assessing-the-existing-early-warning-system-to-support-a-multi-hazard-early-warning-system-in-hoa-chau-ward-hue-city/","2026-06-18",""
"Monitoring and Evaluation Officer to Support Implementation of the GEF Mekong Fisheries Project","Consultancy / Contract","Bachelor's Degree","No Experience Required","Vientiane, Lao","Monitoring & Evaluation","","2026-07-02","The Mekong River Commission (MRC) is the only inter-governmental agency that works directly with the governments of Cambodia, Lao PDR, Thailand, and Vietnam on joint management of shared water resources and sustainable development of the Mekong River.
As a regional facilitating and advisory body governed by water and environment ministers of the four countries, the MRC aims to ensure that the Mekong water is managed and developed in the most efficient and sustainable manner—that mutually benefits all Member Countries and minimises harmful effects on people and the environment in the Lower Mekong River Basin.
As the MRC Secretariat works extensively with a diverse range of documents, including reports, briefs, and handbooks, the Secretariat in Vientiane, Lao PDR, is seeking a qualified candidate for the position of:
Monitoring and Evaluation Officer
to Support Implementation of the GEF Mekong Fisheries Project
Consultant Type:                             Individual Consultant
Work location:                                  Office of the MRC Secretariat in Vientiane, Lao PDR
Division:                                              Environmental Management Division
Duration/Contract type:              12 Months (1 July 2026 to 30 June 2027)
Consultancy Type:
Service Contract
Date posted:                                      03 June 2026
Closing date:                                      02 July 2026
Qualifications and Requirements:
The following are minimum requirements for a successful consultant for the position:
Bachelor’s degree or higher in Monitoring and Evaluation, Environmental Science, Fisheires Management, Natural Resources Management, Project Management, Economic Statistics, Social Sceinces, or related field;
A minimum of 10 years of professional experience in project monitoring and evaluation, preferably in regional, environmental, fisheries, biodiversity, or natural resources management project;
Demonstrated experience in results-based management (RBM), monitoring frameworks, indicator development, data management, and donor reporting systems;
Familiarity with GEF project monitoring and reporting requirements is highly desirable;
Experience in database management, data analysis, and reporting tools;
Experience working with regional organizations, international development projects, or MRC Member Countries is an advantage;
Good understanding of environmental and social safeguards and gender mainstreaming principles;
Strong analytical, organizational, and communication skills;
Ability to work independently and manage multiple tasks under tight deadlines;
Strong interpersonal skills and ability to coordinate with diverse stakeholders and technical teams;
Excellent command of written and spoken English is required. Knowledge of Khmer, Lao, Thai, or Vietnamese would be an advantage.
Immediate availability will be considered an advantage.
Interested applicants may find more information about the position through the Terms of Reference at the bottom of this page.
The MRC is an equal-opportunity employer. We welcome applications from all qualified candidates. Women are especially encouraged to apply. Only short-listed candidates will be notified.
Application procedures:
The application,
in a single PDF file
, must include:
A cover letter (not longer than 1.5 pages) that outlines clearly how the candidate meets the requirements of the position. The position Title and Division must also be indicated.
A detailed CV that must not be longer than five (5) pages.
An Application Form by registering at the following:
APPLICATION LINK
Terms of reference:
TOR","","","MRC","","NGO / Development","","Government / Embassy","","Vientiane, Lao","","https://careerone.vn/jobs/monitoring-and-evaluation-officer-to-support-implementation-of-the-gef-mekong-fisheries-project/","2026-07-02",""
"Chief Environment Management Officer","Consultancy / Contract","PhD / Doctorate","10+ Years","Vientiane, Lao PDR","Communications & Advocacy","","2026-07-02","Division/Office:
Environmental Management Division
Salary Level:
M-13, Step 1
(Competitive salary and benefits package as mentioned in the Job Description)
Work Location:
Mekong River Commission Secretariat, Vientiane, Lao PDR
Contract Type/ Duration:
Fixed-term Appointment/One-year contract with annual renewal for a maximum of six years
Date posted:
03 June 2026
Closing date:
02 July 2026
Only nationals of Cambodia, Lao PDR, Thailand and Viet Nam are eligible to apply.
Job Summary:
The jobholder is the Lead Technical staff of the Division and supports the Director in overseeing the technical work of the Division and guiding the technical work of other specialists. Specifically, he/she is responsible for developing and implementing basin-wide environmental management strategy and cooperation mechanisms and promotes the sustainable use of the water and related resources in the LMB, in close consultation with the lead technical staff of the Planning Division. He or she is responsible for promoting environmental policy for sustainable development of the LMB. The position supports the Director in leading the implementation of MRC’s core river basin management functions related to environmental monitoring (CRBMF 1), environmental analysis and assessment (CRBMF 2) and environmental management planning support (CRBMF 3).
Job Requirements:
Certificate:
University degree (Master or higher) in environmental science, environmental management, natural resources management, or other relevant fields. A doctorate is desirable.
Additional Certificates:
TOEIC certificate with 600 points and over is required. An equivalent internationally recognized certificate or a university degree from an internationally recognized academic institution whose instruction is in English may also be considered.
Experience:
Minimum 13 years of experience in environmental management, including technical leadership role
Extensive experience in Environmental Impact Assessment
Experience in management of complex projects
Experience in watershed management
Experience in bilateral, international relations
Extensive experience in social and economic development relating to water and environment would be an advantage
The MRC is an equal opportunity employer. The organization welcomes applications from all qualified candidates. Women are especially encouraged to apply. Besides required qualifications, immediate availability will be considered as an advantage to the selection process. Interested applicants may find more information about each position through the Job Description, which is located at the bottom of this page. Due to the high number of applications that we receive, we regret that only short-listed candidates will be notified and invited for an interview.
Application Procedures:
The application,
in a single PDF file
, must include:
A cover letter (not longer than 1.5 pages) that outlines clearly how the candidate meets the requirements of the position.
A detailed CV that must not be longer than five (5) pages.
An Application Form by registering at the following:
MRC APPLICATION LINK
Job Description:
JOB DESCRIPTION","","","MRC","","NGO / Development","","Academic / Research","","Vientiane, Lao PDR","","https://careerone.vn/jobs/chief-environment-management-officer/","2026-07-02",""
"Consultants to deliver Training on Local Knowledge System, Cultural diversity and values, and Ethnic Minority (EM) transformative Engagement Approaches","Consultancy / Contract","","","","Finance & Accounting","","2026-06-18","Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Oxfam confederation currently has 21 member organizations working in 79 countries. We share a vision of a just and sustainable world. A world where people and the planet are at the center of our economy. Where women and girls live free from violence and discrimination. Where the climate crisis is contained. And where governance systems are inclusive and allow for those in power to be held to account.
Oxfam in Vietnam believes that a reduction in poverty, injustice, and inequality will occur through the interaction between active citizens, accountable states and responsible private sector, and that it is fundamental to Vietnam’s development. Oxfam in Vietnam contributes to a shift from the current growth-based development model to a Human Economy that cares about People and the Planet
.
All our work is led by our core
values
: Empowerment, Accountability, Inclusiveness, Courage, Solidarity and Equality.
Our commitment to safeguarding
Oxfam is committed to preventing any type of unwanted behavior at work including sexual harassment, exploitation and abuse, lack of integrity and financial misconduct; and committed to promoting the welfare of children, young people and adults. Oxfam expects all staff and volunteers to share this commitment through our code of conduct. We place a high priority on ensuring that only those who share and demonstrate our values are recruited to work for us.
We are seeking qualified consultants to deliver training on Local Knowledge System, Cultural diversity and values, and Ethnic Minority (EM) transformative Engagement Approaches. Please refer to the attached
TOR
for more details.
Quotations and applications must reach Oxfam no later than 18 June 2026 5:00 pm (GMT+7).
Applications being submitted after the deadline will not be considered.
Responses must be submitted electronically to:
[email protected]","hr.vietnam@oxfam.org","https://www.oxfam.org/en/what-we-do/about/what-we-believe","Oxfam","","NGO / Development","","UN Agency","https://www.oxfam.org/en/what-we-do/about/what-we-believe","","","https://careerone.vn/jobs/consultants-to-deliver-training-on-local-knowledge-system-cultural-diversity-and-values-and-ethnic-minority-em-transformative-engagement-approaches/","2026-06-18",""
"English Teacher; Assistant to Foundation Director; Hospitality Trainer; Patisserie Trainer","Full-time","","","Hanoi","Development / NGO","","2026-06-30","KOTO (which stands for Know One Teach One) is a Vietnamese social enterprise dedicated to offering at-risk and disadvantaged youth in Vietnam the opportunity to participate in a 24-month holistic hospitality training program. Established in Hanoi in 1999, KOTO has supported over 1,700 graduates in breaking the cycle of poverty, empowering our trainees to achieve their dreams.
KOTO is currently seeking candidates for following positions:
1.English Teacher
Please find the detailed JD via the link
https://docs.google.com/document/d/1ZUi6thOYYcCtPzppOd0yxH7ZyR_MfrMr/edit?usp=sharing&ouid=108440952420015381988&rtpof=true&sd=true
2. Assistant to Foundation Director
Please find the detailed JD via the link
https://docs.google.com/document/d/1r0PTd0f9EiMhamIrqrng6wIevIrO643e/edit?usp=sharing&ouid=108440952420015381988&rtpof=true&sd=true
3. Hospitality Trainer
Please find the detailed JD via the link
https://docs.google.com/document/d/18VMcETn513S_t0gS46CbpcDLj7IIHnh2/edit?usp=sharing&ouid=108440952420015381988&rtpof=true&sd=true
4. Patisserie Trainer
Please find the detailed JD via the link
https://docs.google.com/document/d/1fk6-ua0wVof1fjx_zfoVf9z2ih7e86RZ/edit?usp=sharing&ouid=108440952420015381988&rtpof=true&sd=true
How to Apply:
Interested candidates should submit their resume and a cover letter outlining their relevant experience and motivation for applying to
[email protected]
Deadline for applications:
June 30, 2026","chi.duong@koto.com.au","","KOTO","","NGO / Development","","NGO / Non-Profit","","Hanoi","","https://careerone.vn/jobs/english-teacher-assistant-to-foundation-director-hospital-trainer-patisserie-trainer-2/","2026-06-30",""
